label,time,value
cpu,2018-08-01T20:05:00.000Z,0.42
memory,2018-08-01T20:05:00.000Z,0.50
disk,2018-08-01T20:05:00.000Z,0.21
cpu,2018-08-01T20:04:00.000Z,0.40
memory,2018-08-01T20:04:00.000Z,0.47
disk,2018-08-01T20:04:00.000Z,0.21
cpu,2018-08-01T20:03:00.000Z,0.81
memory,2018-08-01T20:03:00.000Z,0.49
disk,2018-08-01T20:03:00.000Z,0.22
cpu,2018-08-01T20:02:00.000Z,0.97
memory,2018-08-01T20:02:00.000Z,0.19
disk,2018-08-01T20:02:00.000Z,0.22
cpu,2018-08-01T20:01:00.000Z,0.27
memory,2018-08-01T20:01:00.000Z,0.64
disk,2018-08-01T20:01:00.000Z,0.23
cpu,2018-08-01T20:00:00.000Z,0.56
memory,2018-08-01T20:00:00.000Z,0.20
disk,2018-08-01T20:00:00.000Z,0.24
cpu,2018-08-01T19:59:00.000Z,0.01
memory,2018-08-01T19:59:00.000Z,0.17
disk,2018-08-01T19:59:00.000Z,0.24
cpu,2018-08-01T19:58:00.000Z,0.71
memory,2018-08-01T19:58:00.000Z,0.87
disk,2018-08-01T19:58:00.000Z,0.24
cpu,2018-08-01T19:57:00.000Z,0.49
memory,2018-08-01T19:57:00.000Z,0.90
disk,2018-08-01T19:57:00.000Z,0.25
cpu,2018-08-01T19:56:00.000Z,0.26
memory,2018-08-01T19:56:00.000Z,0.22
disk,2018-08-01T19:56:00.000Z,0.26
cpu,2018-08-01T19:55:00.000Z,0.61
memory,2018-08-01T19:55:00.000Z,0.25
disk,2018-08-01T19:55:00.000Z,0.26
cpu,2018-08-01T19:42:00.000Z,0.47
memory,2018-08-01T19:42:00.000Z,0.02
disk,2018-08-01T19:42:00.000Z,0.32
cpu,2018-08-01T19:41:00.000Z,0.62
memory,2018-08-01T19:41:00.000Z,0.82
disk,2018-08-01T19:41:00.000Z,0.32
cpu,2018-08-01T19:40:00.000Z,0.94
memory,2018-08-01T19:40:00.000Z,0.32
disk,2018-08-01T19:40:00.000Z,0.33
cpu,2018-08-01T19:39:00.000Z,0.35
memory,2018-08-01T19:39:00.000Z,0.53
disk,2018-08-01T19:39:00.000Z,0.34
cpu,2018-08-01T19:38:00.000Z,0.10
memory,2018-08-01T19:38:00.000Z,0.65
disk,2018-08-01T19:38:00.000Z,0.35
cpu,2018-08-01T19:37:00.000Z,0.23
memory,2018-08-01T19:37:00.000Z,0.90
disk,2018-08-01T19:37:00.000Z,0.35
cpu,2018-08-01T19:36:00.000Z,0.48
memory,2018-08-01T19:36:00.000Z,0.77
disk,2018-08-01T19:36:00.000Z,0.36
cpu,2018-08-01T19:35:00.000Z,0.45
memory,2018-08-01T19:35:00.000Z,0.77
disk,2018-08-01T19:35:00.000Z,0.36
cpu,2018-08-01T19:34:00.000Z,1.00
memory,2018-08-01T19:34:00.000Z,0.30
disk,2018-08-01T19:34:00.000Z,0.37
cpu,2018-08-01T19:33:00.000Z,0.93
memory,2018-08-01T19:33:00.000Z,0.80
disk,2018-08-01T19:33:00.000Z,0.38
cpu,2018-08-01T19:32:00.000Z,0.26
memory,2018-08-01T19:32:00.000Z,0.46
disk,2018-08-01T19:32:00.000Z,0.38
cpu,2018-08-01T19:31:00.000Z,0.71
memory,2018-08-01T19:31:00.000Z,0.14
disk,2018-08-01T19:31:00.000Z,0.39
cpu,2018-08-01T19:30:00.000Z,0.38
memory,2018-08-01T19:30:00.000Z,0.38
disk,2018-08-01T19:30:00.000Z,0.40
cpu,2018-08-01T19:29:00.000Z,0.29
memory,2018-08-01T19:29:00.000Z,0.82
disk,2018-08-01T19:29:00.000Z,0.41
cpu,2018-08-01T19:28:00.000Z,0.97
memory,2018-08-01T19:28:00.000Z,0.14
disk,2018-08-01T19:28:00.000Z,0.41
cpu,2018-08-01T19:27:00.000Z,0.62
memory,2018-08-01T19:27:00.000Z,0.25
disk,2018-08-01T19:27:00.000Z,0.42
cpu,2018-08-01T19:26:00.000Z,0.11
memory,2018-08-01T19:26:00.000Z,0.98
disk,2018-08-01T19:26:00.000Z,0.42
cpu,2018-08-01T19:25:00.000Z,0.63
memory,2018-08-01T19:25:00.000Z,0.46
disk,2018-08-01T19:25:00.000Z,0.43
cpu,2018-08-01T19:24:00.000Z,0.59
memory,2018-08-01T19:24:00.000Z,0.79
disk,2018-08-01T19:24:00.000Z,0.44
cpu,2018-08-01T19:23:00.000Z,0.52
memory,2018-08-01T19:23:00.000Z,0.69
disk,2018-08-01T19:23:00.000Z,0.45
cpu,2018-08-01T19:22:00.000Z,0.89
memory,2018-08-01T19:22:00.000Z,0.90
disk,2018-08-01T19:22:00.000Z,0.46
cpu,2018-08-01T19:21:00.000Z,0.88
memory,2018-08-01T19:21:00.000Z,0.76
disk,2018-08-01T19:21:00.000Z,0.47
cpu,2018-08-01T19:20:00.000Z,0.91
memory,2018-08-01T19:20:00.000Z,0.30
disk,2018-08-01T19:20:00.000Z,0.47
cpu,2018-08-01T19:19:00.000Z,0.58
memory,2018-08-01T19:19:00.000Z,0.14
disk,2018-08-01T19:19:00.000Z,0.47
cpu,2018-08-01T19:18:00.000Z,0.81
memory,2018-08-01T19:18:00.000Z,0.56
disk,2018-08-01T19:18:00.000Z,0.47
cpu,2018-08-01T19:17:00.000Z,0.40
memory,2018-08-01T19:17:00.000Z,0.53
disk,2018-08-01T19:17:00.000Z,0.48
cpu,2018-08-01T19:16:00.000Z,0.29
memory,2018-08-01T19:16:00.000Z,0.05
disk,2018-08-01T19:16:00.000Z,0.48
cpu,2018-08-01T19:15:00.000Z,0.87
memory,2018-08-01T19:15:00.000Z,0.45
disk,2018-08-01T19:15:00.000Z,0.49
cpu,2018-08-01T19:14:00.000Z,0.78
memory,2018-08-01T19:14:00.000Z,0.98
disk,2018-08-01T19:14:00.000Z,0.50
cpu,2018-08-01T19:13:00.000Z,0.09
memory,2018-08-01T19:13:00.000Z,0.05
disk,2018-08-01T19:13:00.000Z,0.50
cpu,2018-08-01T19:12:00.000Z,0.53
memory,2018-08-01T19:12:00.000Z,0.66
disk,2018-08-01T19:12:00.000Z,0.50
cpu,2018-08-01T19:11:00.000Z,0.31
memory,2018-08-01T19:11:00.000Z,0.09
disk,2018-08-01T19:11:00.000Z,0.51
cpu,2018-08-01T19:10:00.000Z,0.05
memory,2018-08-01T19:10:00.000Z,0.10
disk,2018-08-01T19:10:00.000Z,0.52
cpu,2018-08-01T19:09:00.000Z,0.18
memory,2018-08-01T19:09:00.000Z,0.78
disk,2018-08-01T19:09:00.000Z,0.52
cpu,2018-08-01T19:08:00.000Z,0.70
memory,2018-08-01T19:08:00.000Z,0.42
disk,2018-08-01T19:08:00.000Z,0.52
cpu,2018-08-01T19:07:00.000Z,0.73
memory,2018-08-01T19:07:00.000Z,0.64
disk,2018-08-01T19:07:00.000Z,0.53
cpu,2018-08-01T19:06:00.000Z,0.39
memory,2018-08-01T19:06:00.000Z,0.90
disk,2018-08-01T19:06:00.000Z,0.53
cpu,2018-08-01T19:05:00.000Z,0.38
memory,2018-08-01T19:05:00.000Z,0.63
disk,2018-08-01T19:05:00.000Z,0.54
cpu,2018-08-01T19:04:00.000Z,0.94
memory,2018-08-01T19:04:00.000Z,0.42
disk,2018-08-01T19:04:00.000Z,0.55
cpu,2018-08-01T19:03:00.000Z,0.06
memory,2018-08-01T19:03:00.000Z,0.42
disk,2018-08-01T19:03:00.000Z,0.55
cpu,2018-08-01T19:02:00.000Z,0.05
memory,2018-08-01T19:02:00.000Z,0.05
disk,2018-08-01T19:02:00.000Z,0.56
cpu,2018-08-01T19:01:00.000Z,0.48
memory,2018-08-01T19:01:00.000Z,0.09
disk,2018-08-01T19:01:00.000Z,0.56
cpu,2018-08-01T19:00:00.000Z,0.85
memory,2018-08-01T19:00:00.000Z,0.65
disk,2018-08-01T19:00:00.000Z,0.56
cpu,2018-08-01T18:59:00.000Z,0.59
memory,2018-08-01T18:59:00.000Z,0.90
disk,2018-08-01T18:59:00.000Z,0.56
cpu,2018-08-01T18:58:00.000Z,0.86
memory,2018-08-01T18:58:00.000Z,0.05
disk,2018-08-01T18:58:00.000Z,0.56
cpu,2018-08-01T18:57:00.000Z,0.34
memory,2018-08-01T18:57:00.000Z,0.25
disk,2018-08-01T18:57:00.000Z,0.57
cpu,2018-08-01T18:56:00.000Z,0.50
memory,2018-08-01T18:56:00.000Z,0.09
disk,2018-08-01T18:56:00.000Z,0.58
cpu,2018-08-01T18:55:00.000Z,0.73
memory,2018-08-01T18:55:00.000Z,0.30
disk,2018-08-01T18:55:00.000Z,0.58
cpu,2018-08-01T18:54:00.000Z,0.81
memory,2018-08-01T18:54:00.000Z,0.28
disk,2018-08-01T18:54:00.000Z,0.58
cpu,2018-08-01T18:53:00.000Z,0.24
memory,2018-08-01T18:53:00.000Z,0.26
disk,2018-08-01T18:53:00.000Z,0.59
cpu,2018-08-01T18:52:00.000Z,0.88
memory,2018-08-01T18:52:00.000Z,0.47
disk,2018-08-01T18:52:00.000Z,0.60
cpu,2018-08-01T18:51:00.000Z,0.18
memory,2018-08-01T18:51:00.000Z,0.12
disk,2018-08-01T18:51:00.000Z,0.61
cpu,2018-08-01T18:50:00.000Z,0.51
memory,2018-08-01T18:50:00.000Z,0.18
disk,2018-08-01T18:50:00.000Z,0.62
cpu,2018-08-01T18:49:00.000Z,0.32
memory,2018-08-01T18:49:00.000Z,0.87
disk,2018-08-01T18:49:00.000Z,0.62
cpu,2018-08-01T18:48:00.000Z,0.40
memory,2018-08-01T18:48:00.000Z,0.38
disk,2018-08-01T18:48:00.000Z,0.63
cpu,2018-08-01T18:47:00.000Z,0.93
memory,2018-08-01T18:47:00.000Z,0.35
disk,2018-08-01T18:47:00.000Z,0.63
cpu,2018-08-01T18:46:00.000Z,0.33
memory,2018-08-01T18:46:00.000Z,0.05
disk,2018-08-01T18:46:00.000Z,0.63
cpu,2018-08-01T18:45:00.000Z,0.63
memory,2018-08-01T18:45:00.000Z,0.23
disk,2018-08-01T18:45:00.000Z,0.63
cpu,2018-08-01T18:44:00.000Z,0.61
memory,2018-08-01T18:44:00.000Z,0.65
disk,2018-08-01T18:44:00.000Z,0.64
cpu,2018-08-01T18:43:00.000Z,0.24
memory,2018-08-01T18:43:00.000Z,0.23
disk,2018-08-01T18:43:00.000Z,0.64
cpu,2018-08-01T18:42:00.000Z,0.58
memory,2018-08-01T18:42:00.000Z,0.63
disk,2018-08-01T18:42:00.000Z,0.65
cpu,2018-08-01T18:41:00.000Z,0.19
memory,2018-08-01T18:41:00.000Z,0.84
disk,2018-08-01T18:41:00.000Z,0.65
cpu,2018-08-01T18:40:00.000Z,0.88
memory,2018-08-01T18:40:00.000Z,0.44
disk,2018-08-01T18:40:00.000Z,0.66
cpu,2018-08-01T18:39:00.000Z,0.11
memory,2018-08-01T18:39:00.000Z,0.44
disk,2018-08-01T18:39:00.000Z,0.67
cpu,2018-08-01T18:38:00.000Z,0.36
memory,2018-08-01T18:38:00.000Z,0.14
disk,2018-08-01T18:38:00.000Z,0.67
cpu,2018-08-01T18:37:00.000Z,0.01
memory,2018-08-01T18:37:00.000Z,0.82
disk,2018-08-01T18:37:00.000Z,0.67
cpu,2018-08-01T18:36:00.000Z,0.68
memory,2018-08-01T18:36:00.000Z,0.93
disk,2018-08-01T18:36:00.000Z,0.67
cpu,2018-08-01T18:35:00.000Z,0.88
memory,2018-08-01T18:35:00.000Z,0.14
disk,2018-08-01T18:35:00.000Z,0.68
cpu,2018-08-01T18:34:00.000Z,0.57
memory,2018-08-01T18:34:00.000Z,0.09
disk,2018-08-01T18:34:00.000Z,0.68
cpu,2018-08-01T18:33:00.000Z,0.42
memory,2018-08-01T18:33:00.000Z,0.04
disk,2018-08-01T18:33:00.000Z,0.68
cpu,2018-08-01T18:32:00.000Z,0.87
memory,2018-08-01T18:32:00.000Z,0.37
disk,2018-08-01T18:32:00.000Z,0.69
cpu,2018-08-01T18:31:00.000Z,0.83
memory,2018-08-01T18:31:00.000Z,0.62
disk,2018-08-01T18:31:00.000Z,0.70
cpu,2018-08-01T18:30:00.000Z,0.18
memory,2018-08-01T18:30:00.000Z,0.64
disk,2018-08-01T18:30:00.000Z,0.71
cpu,2018-08-01T18:29:00.000Z,0.67
memory,2018-08-01T18:29:00.000Z,0.05
disk,2018-08-01T18:29:00.000Z,0.71
cpu,2018-08-01T18:28:00.000Z,0.47
memory,2018-08-01T18:28:00.000Z,0.15
disk,2018-08-01T18:28:00.000Z,0.71
cpu,2018-08-01T18:27:00.000Z,0.10
memory,2018-08-01T18:27:00.000Z,0.52
disk,2018-08-01T18:27:00.000Z,0.72
cpu,2018-08-01T18:26:00.000Z,0.10
memory,2018-08-01T18:26:00.000Z,0.11
disk,2018-08-01T18:26:00.000Z,0.73
